,winDiff,pk,coverage,purity,recall,precision,episode,season
specteral,0.107,0.059,0.965,0.976,0.964,0.975,7,3
specteral,0.527,0.347,0.965,0.976,0.0,0.0,7,3
affinity,0.105,0.006,0.823,0.922,0.37,0.389,7,3
affinity,0.067,0.039,0.972,0.976,0.978,0.982,7,3
affinity,0.311,0.236,0.972,0.976,0.273,0.231,7,3
affinity,0.87,0.059,0.759,0.933,0.003,0.031,7,3
affinity,0.081,0.048,0.965,0.976,0.97,0.981,7,3
affinity,0.363,0.248,0.965,0.976,0.227,0.156,7,3
KMeans,1.069,0.023,0.713,0.881,0.098,0.114,8,3
KMeans,0.088,0.046,0.969,0.98,0.971,0.982,8,3
KMeans,0.536,0.355,0.969,0.98,0.111,0.071,8,3
KMeans,1.208,0.033,0.823,0.89,0.22,0.22,8,3
KMeans,0.064,0.035,0.978,0.98,0.981,0.983,8,3
KMeans,0.356,0.256,0.978,0.98,0.167,0.15,8,3
specteral,1.001,0.047,0.68,0.876,0.05,0.066,8,3
specteral,0.09,0.046,0.972,0.98,0.972,0.981,8,3
specteral,0.479,0.346,0.972,0.98,0.056,0.038,8,3
specteral,0.703,0.03,0.777,0.909,0.2,0.23,8,3
specteral,0.081,0.043,0.975,0.98,0.975,0.981,8,3
specteral,0.381,0.243,0.975,0.98,0.056,0.043,8,3
affinity,0.501,0.031,0.807,0.927,0.083,0.103,8,3
affinity,0.068,0.039,0.976,0.98,0.978,0.982,8,3
affinity,0.302,0.241,0.976,0.98,0.111,0.091,8,3
affinity,0.237,0.011,0.62,0.933,0.107,0.12,8,3
affinity,0.09,0.049,0.966,0.98,0.968,0.982,8,3
affinity,0.536,0.394,0.966,0.98,0.111,0.065,8,3
KMeans,0.137,0.006,0.801,0.92,0.102,0.13,10,3
KMeans,0.082,0.047,0.971,0.975,0.974,0.978,10,3
KMeans,0.29,0.234,0.971,0.975,0.148,0.125,10,3
KMeans,0.767,0.044,0.814,0.786,0.115,0.117,10,3
KMeans,0.079,0.04,0.975,0.975,0.979,0.979,10,3
KMeans,0.341,0.279,0.975,0.975,0.185,0.185,10,3
specteral,0.959,0.067,0.8,0.816,0.353,0.292,10,3
specteral,0.06,0.032,0.976,0.975,0.984,0.983,10,3
specteral,0.342,0.274,0.976,0.975,0.333,0.346,10,3
specteral,0.809,0.047,0.773,0.807,0.438,0.402,10,3
specteral,0.079,0.041,0.976,0.975,0.979,0.979,10,3
specteral,0.439,0.385,0.976,0.975,0.148,0.154,10,3
affinity,0.744,0.049,0.757,0.855,0.043,0.05,10,3
